"SimEsiExpIDSimulazione"|"SimEsiExpDataSimulazione"|"SimEsiExpNumeroOrdine"|"SimEsiExpDataOrdine"|"SimEsiExpRigaOrdine"|"SimEsiExpRichArtCodice"|"SimEsiExpRichArtDescrizione"|"SimEsiExpRichQtaRichiesta"|"SimEsiExpRichQtaImpegnata"
"0000000510"|"20170712"|"#33466"|"20170710"|"0000000001"|"RB3A020109"|"IGOR SHOES-S10107-083-Sandali da Spiaggia Tenis Azzurro-21"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33509"|"20170710"|"0000000001"|"RB3A020016"|"IGOR SHOES-S10108-090-Sandali da Spiaggia Cholo Rosa-19"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33526"|"20170710"|"0000000001"|"RB3A020110"|"IGOR SHOES-S10107-083-Sandali da Spiaggia Tenis Azzurro-22"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33512"|"20170710"|"0000000001"|"RB3A017457"|"EFFII-5901832942108-Cuffia Neonato Grigia Con Cuore Bianco 0-1 mese"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33512"|"20170710"|"0000000002"|"RB3A017459"|"EFFII-5901832942061-Cuffia Neonato Bianca Con Cuore Grigio 0-1 mese"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33514"|"20170710"|"0000000001"|"RB3A010041"|"CHILDHOME-CWRSP-Dondolo a forma di Vespa Rosa"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33489"|"20170710"|"0000000001"|"RB3A011907"|"PLAY e GO-flamingo-Sacco Portagiochi Flamingo"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33472"|"20170710"|"0000000001"|"RB3A021052"|"I PLAY-IP-711150-660-42-Costumino Assorbente Mix'n Match Barriera Corallina-3-6 Mesi"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33485"|"20170710"|"0000000001"|"RB3A015626"|"JET KIDS- BEDBOX RED-Lettino da viaggio treno e aereo rosso"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33420"|"20170709"|"0000000001"|"RB3A021010"|"MOUTHIE MITTEN-MM01G-EU-Guantino Massaggia Gengive per la Dentizione Verde"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33370"|"20170709"|"0000000001"|"RB3A021011"|"MOUTHIE MITTEN-MM02P-EU-Guantino Massaggia Gengive per la Dentizione Viola"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33369"|"20170709"|"0000000001"|"RB3A021009"|"MOUTHIE MITTEN-MM04A-EU-Guantino Massaggia Gengive per la Dentizione Aqua"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33421"|"20170709"|"0000000001"|"RB3A021005"|"CUP CATCHER-CC08CL-Cordino salva Bottiglie e Gioco per la Dentizione 2 in 1 Corallo"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33444"|"20170709"|"0000000001"|"RB3A021010"|"MOUTHIE MITTEN-MM01G-EU-Guantino Massaggia Gengive per la Dentizione Verde"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33451"|"20170709"|"0000000001"|"RB3A020127"|"IGOR SHOES-S10107-085-Sandali da Spiaggia Tenis Giallo-23"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33417"|"20170709"|"0000000001"|"RB3A021008"|"MOUTHIE MITTEN-MM05P-EU-Guantino Massaggia Gengive per la Dentizione Rosa"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33436"|"20170709"|"0000000001"|"RB3A012557"|"ELODIE DETAILS-103417-Bavaglino Oro"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33436"|"20170709"|"0000000002"|"RB3A010119"|"ELODIE DETAILS-103783-Materassino da Passeggino Colori del Vento"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33385"|"20170709"|"0000000002"|"RB3A020978"|"BUGGYGEAR-BGRPYMNKY-SMART PHONE HOLDER - MONKEY"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33385"|"20170709"|"0000000001"|"RB3A021006"|"CUP CATCHER-CC11LG-Cordino salva Bottiglie e Gioco per la Dentizione 2 in 1 Verde"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33393"|"20170709"|"0000000001"|"RB3A020019"|"IGOR SHOES-S10108-090-Sandali da Spiaggia Cholo Rosa-22"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33440"|"20170709"|"0000000001"|"RB3A021008"|"MOUTHIE MITTEN-MM05P-EU-Guantino Massaggia Gengive per la Dentizione Rosa"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33434"|"20170709"|"0000000001"|"RB3A020862"|"LA MILLOU PARENTS PRIDE-HAT-G-TS-Cappellino da Sole Regolabile Tucani"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33434"|"20170709"|"0000000002"|"RB3A020076"|"IGOR SHOES-S10107-073-Sandali da Spiaggia Tenis Fucsia-20"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33391"|"20170709"|"0000000002"|"RB3A020977"|"BUGGYGEAR-BSUNCPINK-STROLLER SUNVISOR UPF50 - PINK PETALS"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33391"|"20170709"|"0000000001"|"RB3A011907"|"PLAY e GO-flamingo-Sacco Portagiochi Flamingo"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33398"|"20170709"|"0000000001"|"RB3A021006"|"CUP CATCHER-CC11LG-Cordino salva Bottiglie e Gioco per la Dentizione 2 in 1 Verde"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33404"|"20170709"|"0000000002"|"RB3A018285"|"KUK-FS371-03-Body Manica corta  con Foglie Menta-0-3 Mesi"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33404"|"20170709"|"0000000001"|"RB3A018277"|"KUK-FS352-03-Body Manica corta con  Farfallini Blu-0-3 Mesi"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33404"|"20170709"|"0000000004"|"RB3A020194"|"NOPPIES-67362_C175-Body a Maniche Corte con Stelline Verde Menta-56"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33404"|"20170709"|"0000000003"|"RB3A010560"|"KUK-FS338-03-Body Manica corta Elefante Blu 0-3 mesi"|"0000000001"|"0000000000"
"0000000510"|"20170712"|"#33380"|"20170709"|"0000000001"|"RB3A020861"|"LA MILLOU PARENTS PRIDE-HAT-G-RS-Cappellino da Sole Regolabile Rainbow Star"|"0000000001"|"0000000000"
