"SpeNumeroOrdine"|"SpeNumeroProtocollo"|"SpeEtichettaCollo"|"SpeTrackingNumero"|"SpeDataImport"|"SpeRigaOrdine"|"SpeArtCodice"|"SpeArtDescrizione"|"SpeArtQta"|"SpeCostoContrassegno"
"#33046"|"31181317"|"00000000000000339229"|"201705005275543"|"20170705"|"1"|"RB3A016476"|"ROCKETBABY-RBP16361-Cesto Passeggino Coniglio"|"0000000001"|"0000025.86"
"#33042"|"31182317"|"00000000000000339069"|"201705005275362"|"20170705"|"1"|"RB3A020243"|"NUOTA CON FLIPPER-2000994052083-CELESTE-Ciambella Collo Azzurra"|"0000000001"|"0000024.86"
"#33020"|"31186317"|"00000000000000339019"|"201705005275488"|"20170705"|"1"|"RB3A011629"|"BIG MOUTH-BMPFPO-Materassino gonfiabile XXL Pop Corn"|"0000000001"|"0000041.76"
"#33027"|"31184317"|"00000000000000339429"|"201705005275942"|"20170705"|"1"|"RB3A020891"|"KG DESIGN-100104-Set 2 Portagelato in Silicone Verde Fucsia"|"0000000001"|"0000028.82"
"#33027"|"31184317"|"00000000000000339429"|"201705005275942"|"20170705"|"2"|"RB3A020877"|"KG DESIGN-3037-Tovaglietta in Silicone Nuvoletta Azzurra"|"0000000001"|"0000028.82"
"#32999"|"31190317"|"00000000000000338969"|"201705005275473"|"20170705"|"1"|"RB3A009289"|"PLAY e GO-designer_badminton-Sacco Portagiochi Badminton"|"0000000001"|"0000043.90"
"#32463"|"31193317"|"00000000000000339439"|"201705005275939"|"20170705"|"3"|"RB3A020920"|"OLI AND CAROL-ANA-S-ANA LA BANANA"|"0000000001"|"0000059.78"
"#32463"|"31193317"|"00000000000000339439"|"201705005275939"|"20170705"|"2"|"RB3A020919"|"OLI AND CAROL-OB-M-BARCA ORIGAMI MENTA"|"0000000001"|"0000059.78"
"#32463"|"31193317"|"00000000000000339439"|"201705005275939"|"20170705"|"1"|"RB3A020522"|"MIAMI KIDS-D0734-1_BLUE-Scarpe Soft Sole Baby Bianche e Navy-6-9 Mesi"|"0000000001"|"0000059.78"
"#32416"|"31194317"|"00000000000000339309"|"201705005275955"|"20170705"|"1"|"RB3A010038"|"CHILDHOME-CWRSCR-Dondolo a forma di Vespa Crema"|"0000000001"|"0000078.47"
"#32310"|"31196317"|"00000000000000338979"|"201705005275483"|"20170705"|"1"|"RB2000ZC"|"Play e go-ANCHOR_BLUE-Sacco Portagiochi Ancore"|"0000000001"|"0000038.50"
"#33064"|"31202317"|"00000000000000339419"|"201705005275936"|"20170705"|"1"|"RB3A020753"|"DUUKIES BEACH SOCKS-FJ-24-25-Calze in Neoprene Jet-24-25"|"0000000001"|"0000000.00"
"#33064"|"31202317"|"00000000000000339419"|"201705005275936"|"20170705"|"2"|"RB3A019947"|"MIAMI KIDS-S15901A-GREEN-Sneaker Slip on Baby Verde-25"|"0000000001"|"0000000.00"
"#33064"|"31202317"|"00000000000000339419"|"201705005275936"|"20170705"|"3"|"RB3A019923"|"MIAMI KIDS-S15901A-PINK-Sneaker Slip on Baby Rosa-25"|"0000000001"|"0000000.00"
"#29965A"|"31211317"|"00000000000000338939"|"201705005275365"|"20170705"|"1"|"RB2000JV-DE-M1-CO"|"LIMOBASICS-09520R_DEN_56-Body Kimono a Manica Corta"|"0000000001"|"0000000.00"
"#32601"|"31214317"|"00000000000000339699"|"201705005275639"|"20170705"|"2"|"RB3A009313"|"ROCKETBABY-RBP15100302-Cesto per Passeggino Elefante Verde"|"0000000001"|"0000000.00"
"#32601"|"31214317"|"00000000000000339699"|"201705005275639"|"20170705"|"1"|"RB3A010151"|"CHILDHOME-CCBRTPMG-Accappatoio Grigio Chiaro"|"0000000001"|"0000000.00"
"#32476"|"31217317"|"00000000000000339389"|"201705005275516"|"20170705"|"1"|"RB3A019791"|"OLI AND CAROL-OB-P-BARCA ORIGAMI ROSA"|"0000000001"|"0000000.00"
"#32476"|"31217317"|"00000000000000339389"|"201705005275516"|"20170705"|"2"|"RB3A020921"|"OLI AND CAROL-DEER_BRACELET-S-BRACCIALETTO OLIVE"|"0000000001"|"0000000.00"
"#33002"|"31233317"|"00000000000000339329"|"201705005275347"|"20170705"|"1"|"RB20012T"|"Duux-DUBP02-Proiettore per Bambini Bluetooth"|"0000000001"|"0000000.00"
"#31651"|"31245317"|"00000000000000339299"|"201705005275950"|"20170705"|"1"|"RB3A010898"|"STUDIO DITTE-68856-Imbottitura Cuscino"|"0000000002"|"0000000.00"
"#31978"|"31254317"|"00000000000000339319"|"201705005275561"|"20170705"|"1"|"RB3A009393"|"ELODIE DETAILS-103126-Cordoncino Ciuccio - Pizzo"|"0000000001"|"0000017.86"
"#32122"|"31257317"|"00000000000000339199"|"201705005275550"|"20170705"|"2"|"RB3A017542"|"LILIPUTI-2006004010043-Stretchy Wrap Beige Sand"|"0000000001"|"0000000.00"
"#31956"|"31263317"|"00000000000000339169"|"201705005275557"|"20170705"|"2"|"RB3A018706"|"COQ EN PATE-L17EACCBOBPHO-Coq en Pate Cappellino Foca-L"|"0000000001"|"0000000.00"
"#33015"|"31187317"|"00000000000000339339"|"201705005275441"|"20170705"|"1"|"RB3A020900"|"BOON-B398-STEM FIORE PER GRASS"|"0000000001"|"0000041.12"
"#33015"|"31187317"|"00000000000000339339"|"201705005275441"|"20170705"|"2"|"RB3A017494"|"BOON-B11005-Scolaposate e Scola Biberon Slim"|"0000000001"|"0000041.12"
