"SimEsiExpIDSimulazione"|"SimEsiExpDataSimulazione"|"SimEsiExpNumeroOrdine"|"SimEsiExpDataOrdine"|"SimEsiExpRigaOrdine"|"SimEsiExpRichArtCodice"|"SimEsiExpRichArtDescrizione"|"SimEsiExpRichQtaRichiesta"|"SimEsiExpRichQtaImpegnata"
"0000000485"|"20170607"|"#21709A"|"20170104"|"0000000001"|"RB3A013449"|"ELODIE DETAILS-103491-Cappellino DOT 24-36m"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#22499"|"20161220"|"0000000003"|"RB3A012758"|"BOXBO-BX-18-Stivali in Gomma Boxbonaute Blu 24"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#21921"|"20161213"|"0000000003"|"RB3A013699"|"BLADEeROSE-5060257464500-Socks HRH  1-2y"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#25308"|"20170222"|"0000000001"|"RB3A017921"|"SUPERGA-S003P40DSN-SCARPE DISNEY CUCCIOLO-28"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#25356"|"20170223"|"0000000002"|"RB3A017987"|"SUPERGA-S003NC0DSN-SCARPE DISNEY MINNIE-32"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#25341"|"20170223"|"0000000001"|"RB3A017988"|"SUPERGA-S003NC0DSN-SCARPE DISNEY MINNIE-33"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#25425"|"20170228"|"0000000001"|"RB3A017987"|"SUPERGA-S003NC0DSN-SCARPE DISNEY MINNIE-32"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#25522"|"20170228"|"0000000003"|"RB3A017946"|"SUPERGA-S003P20DSN-SCARPE DISNEY PISOLO-19"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#25793"|"20170307"|"0000000004"|"RB3A010838"|"CHILDHOME-CHSFB-Set Forchetta e Cucchiaio Blu e Bianco"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#25793"|"20170307"|"0000000002"|"RB3A010839"|"CHILDHOME-CHSFF-Set Forchetta e Cucchiaio Fucsia e Bianco"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#30411"|"20170529"|"0000000003"|"RB3A019985"|"IGOR SHOES-S10108-003-Sandali da Spiaggia Cholo Blu Navy-24"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#30411"|"20170529"|"0000000001"|"RB3A009924"|"A LITTLE LOVELY COMPANY-CUCA002-Cuscinetto Gatto"|"0000000001"|"0000000001"
"0000000485"|"20170607"|"#30477"|"20170529"|"0000000001"|"RB3A013138"|"BAMBOOM-104-000-121-BODY Sleeveless (shoulder opening) BIANCO-TAGLIA-9-12M"|"0000000003"|"0000000000"
"0000000485"|"20170607"|"#30415"|"20170529"|"0000000002"|"RB3A015202"|"INNOBABY-N-AQ-H02-Innobaby - AquaHeat - HOT Heat Pack - set of 5"|"0000000001"|"0000000001"
"0000000485"|"20170607"|"#30413"|"20170529"|"0000000002"|"RB3A011907"|"PLAY e GO-flamingo-Sacco Portagiochi Flamingo"|"0000000001"|"0000000001"
"0000000485"|"20170607"|"#30413"|"20170529"|"0000000004"|"RB3A011010"|"STUDIO ROOF-CAS3-Casetta Gioco Cabana Deco XXL"|"0000000001"|"0000000001"
"0000000485"|"20170607"|"#30413"|"20170529"|"0000000001"|"RB3A020422"|"IGOR SHOES-S10167-007-Sandali con Fiocchetto Mia Fucsia-23"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#30413"|"20170529"|"0000000003"|"RB3A019617"|"I PLAY-711054-215-Iplay Costumino Pannolino Contenitivo Mix'n Match  Cabana Geo-12 Mesi"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#30413"|"20170529"|"0000000005"|"RB3A020123"|"IGOR SHOES-S10107-085-Sandali da Spiaggia Tenis Giallo-19"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#30411"|"20170529"|"0000000002"|"RB3A010865"|"FCTRY-GLSTA31-Occhiali da Sole Baby Neri 3-6 anni"|"0000000001"|"0000000001"
"0000000485"|"20170607"|"#30415"|"20170529"|"0000000001"|"RB3A008313"|"COQ EN PATE-L15ACCBOBMBSNOCappellino Leopardo Bianco M (2-3 anni)"|"0000000001"|"0000000001"
"0000000485"|"20170607"|"#30415"|"20170529"|"0000000003"|"RB3A016513"|"KANGA CARE-KCKRLLNZSXSM410-Set 2 Mutandine Di Transizione tokiBambino e Sweet M"|"0000000001"|"0000000001"
"0000000485"|"20170607"|"#30915"|"20170604"|"0000000004"|"RB3A019661"|"FUNKIT WORLD-SMR-91-Funkit World Sacca da Spiaggia in Silicone Blu"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#30915"|"20170604"|"0000000007"|"RB3A019652"|"FUNKIT WORLD-SBU-05-Funkit World Secchiello da Spiaggia in Silicone Rosa"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#30915"|"20170604"|"0000000003"|"RB3A020266"|"DAIKOS-SQD217TU50-Pinna da Squalo Rossa"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#30915"|"20170604"|"0000000008"|"RB3A020485"|"IGOR SHOES-S10167-005-Sandali con Fiocchetto Mia Rosso-22"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#30915"|"20170604"|"0000000001"|"RB3A019657"|"FUNKIT WORLD-SSP-54-Funkit World Paletta per la Sabbia in Silicone Verde Lime"|"0000000001"|"0000000001"
"0000000485"|"20170607"|"#30915"|"20170604"|"0000000005"|"RB3A019662"|"FUNKIT WORLD-SMR-92-Funkit World Sacca da Spiaggia in Silicone Rosa"|"0000000001"|"0000000001"
"0000000485"|"20170607"|"#30830"|"20170604"|"0000000001"|"RB3A018149"|"ELODIE DETAILS-103152-CORDINO CIUCCIO SWEET HONEY HARRY"|"0000000001"|"0000000001"
"0000000485"|"20170607"|"#30830"|"20170604"|"0000000002"|"RB3A018148"|"ELODIE DETAILS-103151-CORDINO CIUCCIO PRETTY PETROL"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#30836"|"20170604"|"0000000001"|"RB3A020128"|"IGOR SHOES-S10107-085-Sandali da Spiaggia Tenis Giallo-24"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#30817"|"20170604"|"0000000001"|"RB3A020146"|"IGOR SHOES-S10107-094-Sandali da Spiaggia Tenis Verde Pistacchio-26"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#30902"|"20170604"|"0000000001"|"RB3A020290"|"IGOR SHOES-S10110-046-Sandali Bondi Fucsia-18"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#30915"|"20170604"|"0000000006"|"RB3A019651"|"FUNKIT WORLD-SBU-03-Funkit World Secchiello da Spiaggia in Silicone Verde"|"0000000001"|"0000000001"
"0000000485"|"20170607"|"#30915"|"20170604"|"0000000009"|"RB3A019771"|"BIG MOUTH-BMBT-SB-Beach Blanket Strawberry 1.5m NEW"|"0000000001"|"0000000001"
"0000000485"|"20170607"|"#30915"|"20170604"|"0000000002"|"RB3A019658"|"FUNKIT WORLD-SSP-55-Funkit World Paletta per la Sabbia in Silicone Rosa"|"0000000001"|"0000000001"
"0000000485"|"20170607"|"#30875"|"20170604"|"0000000002"|"RB3A020802"|"STEPHEN JOSEPH-SJ101185-Borraccia Morbida Tigrotto"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#30875"|"20170604"|"0000000001"|"RB3A020795"|"STEPHEN JOSEPH-SJ101113-Borraccia Morbida Apina"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#30875"|"20170604"|"0000000003"|"RB3A020812"|"MABEL'S LABELS-ML-876720000039-Set 30 Etichette per Nome Rosa"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#30807"|"20170604"|"0000000001"|"RB3A019514"|"DELTA BABY-36001006-Delta Baby Borsa Fasciatoio da Viaggio Grigia"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#30910"|"20170604"|"0000000001"|"RB3A020797"|"STEPHEN JOSEPH-SJ101125-Borraccia Morbida Farfalla"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#30910"|"20170604"|"0000000003"|"RB3A020802"|"STEPHEN JOSEPH-SJ101185-Borraccia Morbida Tigrotto"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#30910"|"20170604"|"0000000002"|"RB3A020801"|"STEPHEN JOSEPH-SJ101176A-Borraccia Morbida Gufetto"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#30796"|"20170604"|"0000000001"|"RB2000FB"|"Rockee-VRT150--Spazzolino Baby Gatto Fucsia"|"0000000001"|"0000000001"
"0000000485"|"20170607"|"#30796"|"20170604"|"0000000003"|"RB3A020077"|"IGOR SHOES-S10107-073-Sandali da Spiaggia Tenis Fucsia-21"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#30796"|"20170604"|"0000000002"|"RB3A020019"|"IGOR SHOES-S10108-090-Sandali da Spiaggia Cholo Rosa-22"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#30901"|"20170604"|"0000000001"|"RB3A020147"|"IGOR SHOES-S10107-094-Sandali da Spiaggia Tenis Verde Pistacchio-27"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#30840"|"20170604"|"0000000007"|"RB3A010589"|"KUK-FC628-03-Cardigan Balena Rosa 0-3 mesi"|"0000000001"|"0000000000"
"0000000485"|"20170607"|"#30840"|"20170604"|"0000000005"|"RB3A020199"|"NOPPIES-67360_C092-Body a Maniche Corte con Cuoricini Rosa-50"|"0000000001"|"0000000000"
